Date,CL=F,EURUSD=X,GC=F,PLN=X,^GSPC,^VIX,une_rt_m,T10Y2Y,TRESEGUSM052N,TRESEGPLM052N
2019-01-02,47.77999877929688,1.149700164794922,1286.0,3.7851600646972656,2519.489990234375,28.530000686645508,3.7,0.16,115316.347258895,108195.8315905608
2019-01-03,47.4900016784668,1.1409143209457395,1292.0,3.799599885940552,2493.139892578125,26.600000381469727,3.7,0.17,115316.347258895,108195.8315905608
2019-01-04,49.220001220703125,1.14177405834198,1294.199951171875,3.785269975662232,2538.070068359375,24.479999542236328,3.7,0.17,115316.347258895,108195.8315905608
2019-01-07,49.790000915527344,1.147446870803833,1286.800048828125,3.7623000144958496,2566.159912109375,22.709999084472656,3.7,0.17,115316.347258895,108195.8315905608
2019-01-08,49.95000076293945,1.1486331224441528,1283.199951171875,3.766710042953491,2579.820068359375,22.030000686645508,3.7,0.15,115316.347258895,108195.8315905608
2019-01-09,52.58000183105469,1.1540148258209229,1289.300048828125,3.7564098834991455,2595.320068359375,22.799999237060547,3.7,0.18,115316.347258895,108195.8315905608
2019-01-10,52.77999877929688,1.157139539718628,1284.699951171875,3.737060070037842,2597.820068359375,21.31999969482422,3.7,0.18,115316.347258895,108195.8315905608
2019-01-11,53.310001373291016,1.1539002656936646,1291.199951171875,3.747689962387085,2596.27001953125,20.15999984741211,3.7,0.16,115316.347258895,108195.8315905608
2019-01-14,52.11000061035156,1.148369312286377,1293.9000244140625,3.751630067825317,2589.320068359375,20.270000457763672,3.7,0.18,115316.347258895,108195.8315905608
2019-01-15,52.29999923706055,1.1491611003875732,1292.699951171875,3.7723000049591056,2613.080078125,19.200000762939453,3.7,0.19,115316.347258895,108195.8315905608
2019-01-16,52.52000045776367,1.14223051071167,1291.5999755859375,3.767499923706055,2625.760009765625,19.040000915527344,3.7,0.18,115316.347258895,108195.8315905608
2019-01-17,52.58000183105469,1.1407711505889893,1292.699951171875,3.7695000171661377,2645.06005859375,19.71999931335449,3.7,0.19,115316.347258895,108195.8315905608
2019-01-18,53.91999816894531,1.1410315036773682,1281.300048828125,3.778049945831299,2675.469970703125,18.18000030517578,3.7,0.17,115316.347258895,108195.8315905608
2019-01-21,53.91999816894531,1.1388224363327026,1281.300048828125,3.778110027313232,2675.469970703125,18.18000030517578,3.7,0.17,115316.347258895,108195.8315905608
2019-01-22,54.2400016784668,1.1375269889831543,1283.300048828125,3.778549909591675,2657.8798828125,21.149999618530277,3.7,0.16,115316.347258895,108195.8315905608
2019-01-23,53.63999938964844,1.139315485954285,1283.9000244140625,3.778300046920776,2653.18994140625,22.020000457763672,3.7,0.18,115316.347258895,108195.8315905608
