sklep_id,status,churn,zakup_hist_srednia,zakup_hist_sd,zakup_biezacy,zmiana_absolutna,zmiana_wzgledna,zmiana_standaryzowana
1,brak churnu,0,667.3832125379664,157.54383997247734,725.1389614608385,57.755748922872044,0.08654060791136009,0.36660112469622347
2,brak churnu,0,735.7117373808121,112.08308027247298,800.7400544921329,65.0283171113208,0.08838830999601338,0.5801796038549042
3,brak churnu,0,1013.0410284665086,242.63047965898826,775.636828993891,-237.40419947261762,-0.23434805975429085,-0.9784599189940354
4,brak churnu,0,1260.724045775991,236.07749745191364,1809.1276497146932,548.4036039387022,0.4349909924984044,2.3229812661429365
5,brak churnu,0,1377.0893897733247,316.33084029655424,1306.3647774214587,-70.72461235186597,-0.051358040281980225,-0.22357798653322253
6,brak churnu,0,1836.2291160500793,481.63084603927274,1140.1838615520865,-696.0452544979928,-0.3790623122212869,-1.4451841285124758
7,brak churnu,0,1101.9773718914498,160.07492436827084,1086.6280125772578,-15.349359314192043,-0.013928924228132,-0.09588859326198443
8,brak churnu,0,322.94738532700165,96.13459689812441,241.4394902994968,-81.50789502750484,-0.2523875365796001,-0.847851841661959
9,brak churnu,0,226.2689053777463,44.13622584689504,200.6183560306474,-25.650549347098917,-0.11336312121312656,-0.5811677109882158
10,brak churnu,0,315.56671660146804,55.644105967542664,366.75698092891895,51.190264327450905,0.1622169311096884,0.9199584293314067
11,brak churnu,0,404.40850972259835,71.74848645582314,497.7557443655635,93.34723464296513,0.2308241107661066,1.3010341995219752
12,brak churnu,0,612.9719460439242,117.21769531667113,556.7493650687429,-56.222580975181245,-0.09172129546553907,-0.4796424364366859
13,brak churnu,0,1263.6114231296274,282.9764212998269,1562.6511026055914,299.039679475964,0.23665477693714002,1.0567653591149113
14,brak churnu,0,1074.1333381877268,137.21103959485674,1179.236282661263,105.10294447353613,0.09784906653289932,0.7659948119617325
15,brak churnu,0,1003.4153016788412,171.6361419038341,1140.5609985264396,137.1456968475984,0.13667889718059537,0.7990490541580669
16,brak churnu,0,1423.432612078728,331.66716718019785,1450.210031667142,26.777419588413977,0.018811863210938543,0.08073581662023711
17,brak churnu,0,3150.7838134976023,890.6892350698923,2631.6964075206524,-519.0874059769499,-0.1647486583348683,-0.5827929490314511
18,brak churnu,0,983.7942680663406,201.66395240511088,945.5419360777735,-38.25233198856711,-0.03888245055925415,-0.18968353804612656
19,brak churnu,0,2503.578836050496,584.1505295306338,2557.9150015060395,54.33616545554332,0.02170339702234461,0.09301740340662286
20,brak churnu,0,778.4279546106827,226.3576013890947,823.6901753356691,45.26222072498638,0.0581456773962126,0.19995891654278233
21,brak churnu,0,1674.1357835929282,457.86885909859325,1515.1106020741436,-159.02518151878462,-0.09498941667532754,-0.347316001861008
22,brak churnu,0,596.7153873835538,87.38590369241186,600.803455061456,4.088067677902245,0.006850950661465911,0.04678177492209458
23,brak churnu,0,346.97755962363124,64.96603949892504,298.51105573279335,-48.466503890837885,-0.13968195506190606,-0.7460282982409576
24,brak churnu,0,816.4856793146682,149.57186005743552,1083.1502505768337,266.6645712621655,0.32660042670435463,1.7828525443206125
25,brak churnu,0,1400.1620212261696,280.76562857973994,1262.9558246052973,-137.20619662087233,-0.09799308547214856,-0.4886858741040823
26,brak churnu,0,2665.2683632751123,776.8727093052586,2132.3661936631197,-532.9021696119926,-0.19994315655221911,-0.68595815405661
27,brak churnu,0,2021.0552594269366,524.8302587949768,1498.5206351349984,-522.5346242919381,-0.25854544147402536,-0.9956259486480268
28,brak churnu,0,1062.951354840022,312.2957286710217,598.9444845763743,-464.0068702636478,-0.4365269098636056,-1.4857932006890862
29,brak churnu,0,1298.5987576821121,289.5732573607392,1119.7892769874798,-178.80948069463238,-0.137694171996431,-0.6174930735122354
30,brak churnu,0,784.5160333110996,134.26529048693735,770.4909461647226,-14.025087146377018,-0.01787737477739397,-0.10445802556649231
31,brak churnu,0,2610.977040319249,653.8122566128271,1863.4244291366622,-747.552611182587,-0.28631144573036243,-1.1433750340738424
32,brak churnu,0,1690.863416431347,385.8435044873246,1632.591786301377,-58.27163012997016,-0.034462647641259746,-0.1510240018356573
33,brak churnu,0,3387.0924140644775,730.8920094798374,3889.3663091466037,502.2738950821263,0.14829057896279912,0.6872067125752073
