Case    temp.      ciœnienie     wilgotnoœæ
C01, 2.784275525, 4.990915346, -0.42215170A
C02, 4.357512226, 8.698351300,  4.257267193
C03, 9.224036402, 18.26484919, -35.34086772
C04, 16.93270443, 32.96042608, -65.87630722
C05, 28.19378501, 55.56190885, -105.82762
C06, 43.49150483, 86.59518662, -260.6972822
C07, 53.22141291, 105.6173319, -399.2162085
C08, 68.02551224, 135.7834799, -449.0285957
C09, 95.05901316, 190.0925078, -805.870644
C10, 108.8507926, 217.262833,  -956.5272646
C11, 121.6160877, 242.966851,  -1326.273219
C12, 151.6144477, 303.0234056, -1612.37387
C13, 187.2246464, 373.566045,  -2202.50396
C14, 217.4422476, 434.0050028, -2642.582615
C15, 228.1046094, 455.346616,  -3314.290594
